world,bin_index,z_lo,z_hi,parameter,tolerance,at_target,years_used,years_accepted,years_refused
none,0,0.8,0.9,aperp,0.01829726122677785,True,1.0,1,4
none,0,0.8,0.9,apar,0.04731166310216584,True,1.0,2,3
none,0,0.8,0.9,fs8,0.0022917479143427866,True,1.0,5,0
none,1,0.9,1.0,aperp,0.04848556973833437,False,3.0,4,1
none,1,0.9,1.0,apar,0.06744873924944206,False,3.0,4,1
none,1,0.9,1.0,fs8,0.0018732721911100354,True,1.0,5,0
none,2,1.0,1.1,aperp,0.009504676494911952,True,1.0,5,0
none,2,1.0,1.1,apar,0.027948224834234345,True,1.0,5,0
none,2,1.0,1.1,fs8,0.0015993664589912194,True,1.0,5,0
none,3,1.1,1.2,aperp,0.03307778006969254,True,1.0,5,0
none,3,1.1,1.2,apar,0.05693976731503976,True,1.0,4,1
none,3,1.1,1.2,fs8,0.0015627503504451715,True,1.0,5,0
none,4,1.2,1.3,aperp,0.012898280860172794,True,1.0,5,0
none,4,1.2,1.3,apar,0.03116066725452059,True,1.0,5,0
none,4,1.2,1.3,fs8,0.0014512147083174096,True,1.0,5,0
none,5,1.3,1.4,aperp,0.0343837376489464,False,3.0,2,3
none,5,1.3,1.4,apar,0.08236814518095811,False,5.0,2,3
none,5,1.3,1.4,fs8,0.00150339801255183,True,1.0,5,0
none,6,1.4,1.5,aperp,0.015828703885530742,True,1.0,1,4
none,6,1.4,1.5,apar,0.03766995508814314,True,1.0,2,3
none,6,1.4,1.5,fs8,0.0015343174524799134,True,1.0,5,0
none,7,1.5,1.6,aperp,0.014019854149563906,False,3.0,4,1
none,7,1.5,1.6,apar,0.029411652326268797,False,3.0,4,1
none,7,1.5,1.6,fs8,0.0016036255921352241,True,1.0,5,0
none,8,1.6,1.7,aperp,0.02774864507664761,False,8.0,1,4
none,8,1.6,1.7,apar,0.05301424306366111,False,8.0,1,4
none,8,1.6,1.7,fs8,0.0017151275493036949,True,1.0,5,0
none,9,1.7,1.8,aperp,0.00850842842622088,True,1.0,3,2
none,9,1.7,1.8,apar,0.02679509288713559,True,1.0,3,2
none,9,1.7,1.8,fs8,0.0018144601822246624,True,1.0,5,0
none,10,1.8,1.9,aperp,0.011958214197006252,True,1.0,5,0
none,10,1.8,1.9,apar,0.0424879269197585,True,1.0,5,0
none,10,1.8,1.9,fs8,0.0019514052430428899,True,1.0,5,0
none,11,1.9,2.04,aperp,0.07009167319640208,False,8.0,4,1
none,11,1.9,2.04,apar,nan,False,nan,0,5
none,11,1.9,2.04,fs8,0.0017693529485405294,True,1.0,5,0
none,12,2.04,2.2,aperp,0.011837043235610778,True,1.0,5,0
none,12,2.04,2.2,apar,0.01944338555237844,True,1.0,5,0
none,12,2.04,2.2,fs8,0.0017989975642824447,True,1.0,5,0
none,13,2.2,2.355,aperp,0.010701003707112815,True,1.0,5,0
none,13,2.2,2.355,apar,0.020420557842079315,True,1.0,5,0
none,13,2.2,2.355,fs8,0.0020247627905960112,True,1.0,5,0
none,14,2.355,2.51,aperp,0.024208614192563052,True,1.0,1,4
none,14,2.355,2.51,apar,0.061789077763879666,True,1.0,1,4
none,14,2.355,2.51,fs8,0.0022365524099185394,True,1.0,5,0
peak1,0,0.8,0.9,aperp,0.022477309635420342,True,1.0,2,3
peak1,0,0.8,0.9,apar,0.052235663089216657,True,1.0,2,3
peak1,0,0.8,0.9,fs8,0.003515804027458613,True,1.0,5,0
peak1,1,0.9,1.0,aperp,nan,False,nan,0,5
peak1,1,0.9,1.0,apar,0.06517228027987104,True,1.0,4,1
peak1,1,0.9,1.0,fs8,0.0026672709125049195,True,1.0,5,0
peak1,2,1.0,1.1,aperp,0.04385148951194617,True,1.0,5,0
peak1,2,1.0,1.1,apar,0.17472531025884064,False,8.0,4,1
peak1,2,1.0,1.1,fs8,0.0021361115468436446,True,1.0,5,0
peak1,3,1.1,1.2,aperp,0.026692838092501316,True,1.0,5,0
peak1,3,1.1,1.2,apar,0.04266350253421789,True,1.0,5,0
peak1,3,1.1,1.2,fs8,0.0019547793860591137,True,1.0,5,0
peak1,4,1.2,1.3,aperp,0.02860849364524843,False,3.0,4,1
peak1,4,1.2,1.3,apar,0.07445182823478554,False,3.0,2,3
peak1,4,1.2,1.3,fs8,0.001747020882995711,True,1.0,5,0
peak1,5,1.3,1.4,aperp,0.015651478155617665,True,1.0,1,4
peak1,5,1.3,1.4,apar,0.027144374379873017,True,1.0,1,4
peak1,5,1.3,1.4,fs8,0.001701612091380084,True,1.0,5,0
peak1,6,1.4,1.5,aperp,0.0153942384613402,True,1.0,4,1
peak1,6,1.4,1.5,apar,0.02257146439937674,True,1.0,5,0
peak1,6,1.4,1.5,fs8,0.0017218772729113414,True,1.0,5,0
peak1,7,1.5,1.6,aperp,0.030564214332188394,False,8.0,1,4
peak1,7,1.5,1.6,apar,0.07460220068563156,False,8.0,2,3
peak1,7,1.5,1.6,fs8,0.0017834904451086771,True,1.0,5,0
peak1,8,1.6,1.7,aperp,0.008924378643143965,True,1.0,5,0
peak1,8,1.6,1.7,apar,0.023532383435692545,True,1.0,5,0
peak1,8,1.6,1.7,fs8,0.0018434465614759982,True,1.0,5,0
peak1,9,1.7,1.8,aperp,0.019149672216084122,True,1.0,5,0
peak1,9,1.7,1.8,apar,0.07963536487853506,True,1.0,5,0
peak1,9,1.7,1.8,fs8,0.0019640528959871885,True,1.0,5,0
peak1,10,1.8,1.9,aperp,0.02454212548996024,True,1.0,5,0
peak1,10,1.8,1.9,apar,0.03357769398729898,True,1.0,5,0
peak1,10,1.8,1.9,fs8,0.0020773480109054277,True,1.0,5,0
peak1,11,1.9,2.04,aperp,0.010219246793642923,True,1.0,5,0
peak1,11,1.9,2.04,apar,0.020032108675639173,True,1.0,5,0
peak1,11,1.9,2.04,fs8,0.001876468822804633,True,1.0,5,0
