ch,basis,mu0,tau_bound,tol_aperp,era_from,anchor,offset_hz,anchor_method,anchor_early,anchor_late,n_desg,n_bulk,rho,headroom,quantile,m,multiplier_q16,f,r_fine,r_nocredit,margin,penalty,r_early,r_late,worst_era,era_stable,f_recent,coarse_covered,feasible
14,product,1.0020553359683795,True,0.0201,2024,0,0.0,rej_minus_quiet,0,0,5,125,,,,,,,,,,,,,,,,,0
14,sigma_null,1.0020553359683795,True,0.0201,2024,0,0.0,rej_minus_quiet,0,0,5,125,,,,,,,,,,,,,,,,,0
15,product,0.9944561567892559,True,0.0201,2024,236,-238.4185791015625,median_only,236,253,10,123,,,,,,,,,,,,,,,,,0
15,sigma_null,0.9944561567892559,True,0.0201,2024,236,-238.4185791015625,median_only,236,253,10,123,,,,,,,,,,,,,,,,,0
16,product,0.9998429154885329,True,0.0201,2024,215,-488.7580871582031,rej_minus_quiet,215,215,5,126,,,,,,,,,,,,,,,,,0
16,sigma_null,0.9998429154885329,True,0.0201,2024,215,-488.7580871582031,rej_minus_quiet,215,215,5,126,,,,,,,,,,,,,,,,,0
17,product,1.0014924200769775,True,0.0201,2024,206,-596.0464477539062,median_only,197,214,15,120,,,,,,,,,,,,,,,,,0
17,sigma_null,1.0014924200769775,True,0.0201,2024,206,-596.0464477539062,median_only,197,214,15,120,,,,,,,,,,,,,,,,,0
18,product,1.011111111111111,True,0.012,2024,175,-965.5952453613281,rej_minus_quiet,178,175,8,124,,,,,,,,,,,,,,,,,0
18,sigma_null,1.011111111111111,True,0.012,2024,175,-965.5952453613281,rej_minus_quiet,178,175,8,124,,,,,,,,,,,,,,,,,0
19,product,1.0064495831366997,False,0.012,2024,155,-1204.0138244628906,rej_minus_quiet,152,155,8,124,71,53,0.568,14.841113939020591,972627,0.3989331836047164,0.011811907890950416,0.11811907890950415,1.0159239397044137,1.6833601195271206,1.718522057206459,0.007015532764068409,inf,False,0.25313782991202344,0.4342682304946456,1665
19,sigma_null,1.0064495831366997,False,0.012,2024,155,-1204.0138244628906,rej_minus_quiet,152,155,8,124,71,53,0.568,14.841113939020591,972627,0.3989331836047164,0.011810404539618052,0.11810404539618051,1.016053257087507,1.6833576183886594,1.718522057206459,0.007014025187861106,inf,False,0.25313782991202344,0.4342682304946456,1665
20,product,0.9853298815407547,True,0.012,2024,144,-1335.14404296875,median_only,141,143,8,124,73,51,0.584,1.5000000000000004,98304,0.9576709494773519,0.011988188676921332,0.11988188676921332,1.000985246678792,23.90765151076228,0.012929299439391773,0.011964614379641263,inf,False,0.9817117397160916,0.9581083292423499,666
20,sigma_null,0.9853298815407547,True,0.012,2024,144,-1335.14404296875,median_only,141,143,8,124,73,51,0.584,1.5000000000000004,98304,0.9576709494773519,0.011988188676921332,0.11988188676921332,1.000985246678792,23.90765151076228,0.012929299439391773,0.011964614379641263,inf,False,0.9817117397160916,0.9581083292423499,666
21,product,1.0075925340082252,True,0.00757,2024,112,1335.14404296875,rej_minus_quiet,113,112,6,125,,,,,,,,,,,,,,,,,0
21,sigma_null,1.0075925340082252,True,0.00757,2024,112,1335.14404296875,rej_minus_quiet,113,112,6,125,,,,,,,,,,,,,,,,,0
22,product,1.0033892961298967,True,0.00757,2024,105,1251.6975402832031,median_only,105,105,5,126,,,,,,,,,,,,,,,,,0
22,sigma_null,1.0033892961298967,True,0.00757,2024,105,1251.6975402832031,median_only,105,105,5,126,,,,,,,,,,,,,,,,,0
23,product,0.9945818610129564,True,0.00757,2024,105,1251.6975402832031,rej_minus_quiet,80,107,12,122,,,,,,,,,,,,,,,,,0
23,sigma_null,0.9945818610129564,True,0.00757,2024,105,1251.6975402832031,rej_minus_quiet,80,107,12,122,,,,,,,,,,,,,,,,,0
24,product,1.0047184649260774,False,0.00672,2024,66,786.7813110351562,median_only,66,69,8,124,,,,,,,,,,,,,,,,,0
24,sigma_null,1.0047184649260774,False,0.00672,2024,66,786.7813110351562,median_only,66,69,8,124,,,,,,,,,,,,,,,,,0
25,product,0.9982709839673058,True,0.00672,2024,30,357.62786865234375,rej_minus_quiet,28,30,7,124,,,,,,,,,,,,,,,,,0
25,sigma_null,0.9982709839673058,True,0.00672,2024,30,357.62786865234375,rej_minus_quiet,28,30,7,124,,,,,,,,,,,,,,,,,0
26,product,1.0085644692386266,True,0.00672,2024,11,131.13021850585938,rej_minus_quiet,11,11,5,126,66,60,0.5196850393700787,56.46216173286171,3700304,0.3677140255009107,0.005550684489178702,0.05550684489178702,1.2106614982532207,1.5903415939058236,nan,0.005556191978310543,inf,False,0.011398286626978366,0.3856812933025404,2297
26,sigma_null,1.0085644692386266,True,0.00672,2024,11,131.13021850585938,rej_minus_quiet,11,11,5,126,66,60,0.5196850393700787,56.46216173286171,3700304,0.3677140255009107,0.005561120248285357,0.05561120248285357,1.2083896229490736,1.5903580987146089,nan,0.005566640906754439,inf,False,0.011398286626978366,0.3856812933025404,2294
27,product,0.992953335421234,True,0.014,2024,246,-119.20928955078125,rej_minus_quiet,4,246,10,122,,,,,,,,,,,,,,,,,0
27,sigma_null,0.992953335421234,True,0.014,2024,246,-119.20928955078125,rej_minus_quiet,4,246,10,122,,,,,,,,,,,,,,,,,0
28,product,1.0033102143757882,True,0.014,2024,226,-357.62786865234375,median_only,225,226,6,125,,,,,,,,,,,,,,,,,0
28,sigma_null,1.0033102143757882,True,0.014,2024,226,-357.62786865234375,median_only,225,226,6,125,,,,,,,,,,,,,,,,,0
29,product,1.0024384488319042,True,0.014,2024,197,-703.3348083496094,rej_minus_quiet,198,197,6,125,,,,,,,,,,,,,,,,,0
29,sigma_null,1.0024384488319042,True,0.014,2024,197,-703.3348083496094,rej_minus_quiet,198,197,6,125,,,,,,,,,,,,,,,,,0
30,product,0.9966261278932915,True,0.0144,2021,201,-655.6510925292969,rej_minus_quiet,201,201,5,126,,,,,,,,,,,,,,,,,0
30,sigma_null,0.9966261278932915,True,0.0144,2021,201,-655.6510925292969,rej_minus_quiet,201,201,5,126,,,,,,,,,,,,,,,,,0
