scenario,label,sig_at_2yr,sig_at_1yr_onsky,hours_3sig,years_3sig,hours_5sig,years_5sig,time_penalty_vs_clean
clean,Uncontaminated baseline,63.57,48.84,109.6,0.0125,208.8,0.0238,1.0
legacy_rate_table,Legacy detector rate table,61.96,47.53,112.8,0.0129,215.6,0.0246,1.033
uniform50_dtv,"50% masked, DTV band",57.88,43.92,124.0,0.0142,240.5,0.0275,1.152
uniform75_dtv,"75% masked, DTV band",53.89,40.9,129.8,0.0148,254.5,0.0291,1.219
uniform97_dtv,"97% masked, DTV band",49.7,38.26,132.8,0.0152,262.2,0.0299,1.256
legacy_rate_table_fourier,Legacy detector rate table (Fourier weighting),61.89,47.47,112.9,0.0129,216.0,0.0247,1.034
uniform25_dtv,"25% masked, DTV band",60.98,46.55,117.0,0.0134,224.6,0.0256,1.076
uniform90_dtv,"90% masked, DTV band",51.01,39.01,132.2,0.0151,260.5,0.0297,1.248
uniform50_chime,"50% masked, CHIME band",48.84,35.51,219.2,0.025,417.6,0.0477,2.0
ch30_excised,ch30 97% masked (excised),63.02,48.42,110.4,0.0126,210.5,0.024,1.008
ch30_kept,ch30 97% masked (kept),63.19,48.47,110.9,0.0127,211.5,0.0241,1.013
ch30_kept_fourier,ch30 97% masked (kept) (Fourier weighting),60.26,46.14,115.8,0.0132,222.2,0.0254,1.064
