config,case,tau_cut_ns,sigma_nl_mpc,k_nl0_mpc,kpar_min_h_at_z1p16,k_range_h,total_sn,published_sn,ratio_to_published,ratio_to_amplitude_sn,sn_zbin0,sn_zbin1,sn_zbin2
chime2025,calib_nl_lifted,200,7,10,0.3511,0.4-1.5,2.216,12.4,0.1787,0.163,1.385,1.258,1.188
chime2025,calib_nl_lifted,0,7,10,0,0.4-1.5,10.44,12.4,0.8419,0.7677,9.319,4.17,2.18
chime2025,calib_nl_default,200,7,0.14,0.3511,0.4-1.5,0,12.4,0,0,0,0,0
chime2025,calib_undamped,200,0.001,10,0.3511,0.4-1.5,87.66,12.4,7.069,6.445,58.02,49.81,42.84
chime2025,calib_sigma_nl_scan,200,3,10,0.3511,0.4-1.5,38.47,12.4,3.103,2.829,25.19,21.92,19.1
chime2025,calib_sigma_nl_scan,200,4,10,0.3511,0.4-1.5,22.54,12.4,1.818,1.657,14.69,12.84,11.28
chime2025,calib_sigma_nl_scan,200,5,10,0.3511,0.4-1.5,11.72,12.4,0.9453,0.8619,7.588,6.671,5.944
chime2025,calib_sigma_nl_scan,200,6,10,0.3511,0.4-1.5,5.403,12.4,0.4357,0.3973,3.454,3.07,2.799
chime2025,calib_sigma_nl_scan,200,7,10,0.3511,0.4-1.5,2.216,12.4,0.1787,0.163,1.385,1.258,1.188
chime2025_masked,calib_nl_lifted,200,7,10,0.3511,0.4-1.5,1.814,12.4,0.1463,0.1334,1.134,1.029,0.9724
chime2025_masked,calib_nl_lifted,0,7,10,0,0.4-1.5,8.546,12.4,0.6892,0.6283,7.628,3.413,1.785
chime2025_masked,calib_nl_default,200,7,0.14,0.3511,0.4-1.5,0,12.4,0,0,0,0,0
chime2025_masked,calib_undamped,200,0.001,10,0.3511,0.4-1.5,71.75,12.4,5.786,5.276,47.5,40.77,35.07
chime2025_masked,calib_sigma_nl_scan,200,3,10,0.3511,0.4-1.5,31.49,12.4,2.54,2.316,20.62,17.95,15.63
chime2025_masked,calib_sigma_nl_scan,200,4,10,0.3511,0.4-1.5,18.45,12.4,1.488,1.357,12.03,10.51,9.235
chime2025_masked,calib_sigma_nl_scan,200,5,10,0.3511,0.4-1.5,9.595,12.4,0.7738,0.7055,6.211,5.461,4.865
chime2025_masked,calib_sigma_nl_scan,200,6,10,0.3511,0.4-1.5,4.422,12.4,0.3566,0.3252,2.827,2.513,2.291
chime2025_masked,calib_sigma_nl_scan,200,7,10,0.3511,0.4-1.5,1.814,12.4,0.1463,0.1334,1.134,1.029,0.9724
chime2025,calib_summary_F,200,4.9,10,0.3511,0.4-1.5,12.4,12.4,1,0.9118,,,
chime2025,calib_summary_amplitude,200,4.8,10,0.3511,0.4-1.5,13.6,12.4,1.097,1,,,
chime2025_masked,calib_summary_F,200,4.6,10,0.3511,0.4-1.5,12.4,12.4,1,0.9118,,,
chime2025_masked,calib_summary_amplitude,200,4.5,10,0.3511,0.4-1.5,13.6,12.4,1.097,1,,,
