config,tau_cut_ns,zbin,z_center,kpar_min_h,sigma_apar,sigma_aperp
chime2025,0,1.0068-1.1163,1.0616,0,0.0481111,0.0386194
chime2025,0,1.1163-1.2259,1.1711,0,0.0501625,0.0403118
chime2025,0,1.2259-1.3354,1.2807,0,0.0525087,0.042414
chime2025,30,1.0068-1.1163,1.0616,0.054615,0.0514221,0.0559106
chime2025,30,1.1163-1.2259,1.1711,0.052455,0.0540908,0.0608043
chime2025,30,1.2259-1.3354,1.2807,0.050562,0.0572107,0.0667864
chime2025,50,1.0068-1.1163,1.0616,0.091025,0.0596804,0.0934443
chime2025,50,1.1163-1.2259,1.1711,0.087425,0.0624313,0.0979213
chime2025,50,1.2259-1.3354,1.2807,0.08427,0.0649016,0.102051
chime2025,75,1.0068-1.1163,1.0616,0.13654,0.080194,0.183949
chime2025,75,1.1163-1.2259,1.1711,0.13114,0.0839819,0.187457
chime2025,75,1.2259-1.3354,1.2807,0.12641,0.0897473,0.209032
chime2025,100,1.0068-1.1163,1.0616,0.18205,0.144078,0.469893
chime2025,100,1.1163-1.2259,1.1711,0.17485,0.13578,0.43782
chime2025,100,1.2259-1.3354,1.2807,0.16854,0.136757,0.451963
chime2025,150,1.0068-1.1163,1.0616,0.27307,0.74256,5.31158
chime2025,150,1.1163-1.2259,1.1711,0.26228,0.817016,5.53389
chime2025,150,1.2259-1.3354,1.2807,0.25281,0.74357,4.19656
chime2025,200,1.0068-1.1163,1.0616,0.3641,inf,inf
chime2025,200,1.1163-1.2259,1.1711,0.3497,inf,inf
chime2025,200,1.2259-1.3354,1.2807,0.33708,inf,inf
chime2025,280,1.0068-1.1163,1.0616,0.50974,inf,inf
chime2025,280,1.1163-1.2259,1.1711,0.48958,inf,inf
chime2025,280,1.2259-1.3354,1.2807,0.47191,inf,inf
chime2025,400,1.0068-1.1163,1.0616,0.7282,inf,inf
chime2025,400,1.1163-1.2259,1.1711,0.6994,inf,inf
chime2025,400,1.2259-1.3354,1.2807,0.67416,inf,inf
archive7yr,0,0.8000-0.9000,0.85,0,0.010074,0.00685753
archive7yr,0,0.9000-1.0000,0.95,0,0.0102864,0.00721297
archive7yr,0,1.0000-1.1000,1.05,0,0.0105652,0.00746665
archive7yr,0,1.1000-1.2000,1.15,0,0.0108456,0.00772823
archive7yr,0,1.2000-1.3000,1.25,0,0.0112514,0.00833033
archive7yr,0,1.3000-1.4000,1.35,0,0.0117172,0.00903689
archive7yr,0,1.4000-1.5000,1.45,0,0.0121324,0.00952809
archive7yr,0,1.5000-1.6000,1.55,0,0.0126486,0.0102763
archive7yr,0,1.6000-1.7000,1.65,0,0.0131861,0.0110517
archive7yr,0,1.7000-1.8000,1.75,0,0.0137603,0.0117937
archive7yr,0,1.8000-1.9000,1.85,0,0.0145017,0.0133976
archive7yr,0,1.9000-2.0400,1.97,0,0.0128888,0.0123721
archive7yr,0,2.0400-2.2000,2.12,0,0.0127867,0.0123127
archive7yr,0,2.2000-2.3550,2.2775,0,0.014083,0.0149728
archive7yr,0,2.3550-2.5100,2.4325,0,0.0149594,0.0164297
archive7yr,30,0.8000-0.9000,0.85,0.059807,0.0110067,0.0115925
archive7yr,30,0.9000-1.0000,0.95,0.057158,0.0112311,0.0116495
archive7yr,30,1.0000-1.1000,1.05,0.054861,0.0114737,0.011769
archive7yr,30,1.1000-1.2000,1.15,0.052849,0.0119118,0.0126663
archive7yr,30,1.2000-1.3000,1.25,0.051068,0.0123477,0.0135072
archive7yr,30,1.3000-1.4000,1.35,0.049479,0.0126774,0.0136277
archive7yr,30,1.4000-1.5000,1.45,0.04805,0.0132747,0.0149817
archive7yr,30,1.5000-1.6000,1.55,0.046755,0.0137769,0.0158811
archive7yr,30,1.6000-1.7000,1.65,0.045574,0.0144901,0.0176924
archive7yr,30,1.7000-1.8000,1.75,0.044492,0.0150548,0.0186326
archive7yr,30,1.8000-1.9000,1.85,0.043494,0.0155953,0.0192872
archive7yr,30,1.9000-2.0400,1.97,0.042394,0.0141063,0.0189662
archive7yr,30,2.0400-2.2000,2.12,0.041145,0.0139961,0.0194855
archive7yr,30,2.2000-2.3550,2.2775,0.03996,0.015234,0.0219564
archive7yr,30,2.3550-2.5100,2.4325,0.0389,0.0162514,0.02459
archive7yr,50,0.8000-0.9000,0.85,0.099678,0.0124538,0.0181647
archive7yr,50,0.9000-1.0000,0.95,0.095264,0.0128018,0.0186784
archive7yr,50,1.0000-1.1000,1.05,0.091436,0.0131172,0.0188905
archive7yr,50,1.1000-1.2000,1.15,0.088081,0.0134973,0.0196598
archive7yr,50,1.2000-1.3000,1.25,0.085114,0.0137852,0.0198505
archive7yr,50,1.3000-1.4000,1.35,0.082465,0.0143236,0.0217064
archive7yr,50,1.4000-1.5000,1.45,0.080083,0.0147941,0.0228467
