config,cut,sigma_nl_mpc,target_sigma,no_cut_significance,tau_last_at_or_above_ns,significance_there,tau_first_below_ns,significance_below,tau_loglog_interp_ns
chime2025,hard,7,5,5.2549,,,,,
chime2025,hard,7,3,5.2549,50,3.1453,75,1.833,51.81
archive7yr,hard,7,5,50.189,125,5.5518,140,3.5239,128.3
archive7yr,hard,7,3,50.189,140,3.5239,150,2.5016,144.6
archive7yr_accepted,hard,7,5,24.198,100,5.3357,110,4.1306,102.4
archive7yr_accepted,hard,7,3,24.198,110,4.1306,125,2.6768,120.9
chime2025_masked,hard,7,5,4.3013,,,,,
chime2025_masked,hard,7,3,4.3013,30,3.4932,50,2.5745,38.71
archive7yr,soft,7,5,50.189,140,5.5187,150,4.2104,143.6
archive7yr,soft,7,3,50.189,160,3.2031,175,2.0829,162.2
chime2025,wedge,7,5,2.7152,,,,,
chime2025,wedge,7,3,2.7152,,,,,
archive7yr,wedge,7,5,23.275,110,5.9791,125,3.8915,116
archive7yr,wedge,7,3,23.275,125,3.8915,140,2.4765,133.4
archive7yr_accepted,wedge,7,5,11.222,75,6.3555,100,3.6708,85.05
archive7yr_accepted,wedge,7,3,11.222,100,3.6708,110,2.8828,108.3
chime2025_masked,wedge,7,5,2.2225,,,,,
chime2025_masked,wedge,7,3,2.2225,,,,,
chime2025,hard,4.9,5,5.5169,,,,,
chime2025,hard,4.9,3,5.5169,50,3.4961,75,2.2054,57.21
archive7yr,hard,4.9,5,52.354,140,5.529,150,4.2089,143.6
archive7yr,hard,4.9,3,52.354,160,3.2122,175,2.0165,162.1
archive7yr_accepted,hard,4.9,5,25.242,110,5.5127,125,3.8726,114
archive7yr_accepted,hard,4.9,3,25.242,125,3.8726,140,2.6658,135.1
chime2025_masked,hard,4.9,5,4.5158,,,,,
chime2025_masked,hard,4.9,3,4.5158,30,3.7435,50,2.8617,45.71
