world,suppression_db,ch,tau_capped,residual_status,n_eta1_kept,n_eta1_valid,min_eta1_kept,r_fine,generator_sha256,bias_source_sha256,residual_source_sha256,selection_policy_sha256,bank_file,bank_sha256,bank_schema,bank_source_commit,bank_source_sha256,bank_backend_commit,bank_backend_sha256,bank_kfg_fac,bank_epsilon_fg,bank_p_res,bank_grid_points,product_file,product_sha256,floor_epoch,floor_frames,floor_db,floor_evidence,tau_quality,tau_reason,tol_aperp,tol_apar,tol_fs8,pass_aperp,pass_apar,pass_fs8
none,0.0,29,True,evaluated,14274,39357,30,2.368614923797639,a3f04c067c3bc251eabe9a42f0e54b3a523971ba8cf4987e5d93ffa37b91993a,d260c276d5821e766b52e18f6c686e2978e4fa12e243bb2b6adb0ca59e1e6530,304f91c97059caac2e34d59c31258b6caad6fc58399d68346a432dd63184821c,b36c612ca1a59c0b5e09ced129bca9e15c589fb94a7e2e3648c6ebd815b68cf7,fisher_bank_chime2022_pres_dense.npz,1717cd3b73089b9c0510bdc12d08b8536961da93fc7218df13eb8e133ffe2288,2,abba22a2c2a489a712ea0f21f794139a987935cf,4cc1bcd4662e3026b4ea5f5565aad8853814bbdb12b8cd0fbe006fbf04fb7bb4,f6bc9ea0972028ce30472dd21b25d4b21b7068c0,efad0173be49d51679cf98071ccd1dfccd386dc9b2774e202164086347a4c2cf,,0,1.0,27,614.npz,c8b13fcd8ea23b9a384ce71e11f05fed3d9d3fc0f9cbd472f77012233c52502c,kept frames,8119,-48.19021936913615,measured,refused,surviving power fraction moves x2.5 across trim probes (max 2); the variance split is set by where the tail was cut,0.014019854149563906,0.029411652326268797,0.0016036255921352241,False,False,False
none,0.0,32,False,insufficient_kept_frames,16,8359,30,,a3f04c067c3bc251eabe9a42f0e54b3a523971ba8cf4987e5d93ffa37b91993a,d260c276d5821e766b52e18f6c686e2978e4fa12e243bb2b6adb0ca59e1e6530,304f91c97059caac2e34d59c31258b6caad6fc58399d68346a432dd63184821c,b36c612ca1a59c0b5e09ced129bca9e15c589fb94a7e2e3648c6ebd815b68cf7,fisher_bank_chime2022_pres_dense.npz,1717cd3b73089b9c0510bdc12d08b8536961da93fc7218df13eb8e133ffe2288,2,abba22a2c2a489a712ea0f21f794139a987935cf,4cc1bcd4662e3026b4ea5f5565aad8853814bbdb12b8cd0fbe006fbf04fb7bb4,f6bc9ea0972028ce30472dd21b25d4b21b7068c0,efad0173be49d51679cf98071ccd1dfccd386dc9b2774e202164086347a4c2cf,,0,1.0,27,568.npz,99ad816a828ea8c29e7e5551a34cda7413a95b25afc7d42d0a3ed9d078e0d4da,from 2023-02,14533,-31.539528521052798,measured,measured,,0.015828703885530742,0.03766995508814314,0.0015343174524799134,,,
none,0.0,33,False,evaluated,6659,34206,30,0.0033386089441526717,a3f04c067c3bc251eabe9a42f0e54b3a523971ba8cf4987e5d93ffa37b91993a,d260c276d5821e766b52e18f6c686e2978e4fa12e243bb2b6adb0ca59e1e6530,304f91c97059caac2e34d59c31258b6caad6fc58399d68346a432dd63184821c,b36c612ca1a59c0b5e09ced129bca9e15c589fb94a7e2e3648c6ebd815b68cf7,fisher_bank_chime2022_pres_dense.npz,1717cd3b73089b9c0510bdc12d08b8536961da93fc7218df13eb8e133ffe2288,2,abba22a2c2a489a712ea0f21f794139a987935cf,4cc1bcd4662e3026b4ea5f5565aad8853814bbdb12b8cd0fbe006fbf04fb7bb4,f6bc9ea0972028ce30472dd21b25d4b21b7068c0,efad0173be49d51679cf98071ccd1dfccd386dc9b2774e202164086347a4c2cf,,0,1.0,27,552.npz,5bc12254565cc414e6e72d7e3217c8d51c4f9bc92f41b62d2be59037abd86c83,kept frames,1388,-44.951974304312806,measured,bounded_above,"decorrelated by 5 min, the shortest resolvable lag; tau_c is an upper bound",0.015828703885530742,0.03766995508814314,0.0015343174524799134,True,True,False
none,0.0,35,False,evaluated,6484,39775,30,0.20403441768051395,a3f04c067c3bc251eabe9a42f0e54b3a523971ba8cf4987e5d93ffa37b91993a,d260c276d5821e766b52e18f6c686e2978e4fa12e243bb2b6adb0ca59e1e6530,304f91c97059caac2e34d59c31258b6caad6fc58399d68346a432dd63184821c,b36c612ca1a59c0b5e09ced129bca9e15c589fb94a7e2e3648c6ebd815b68cf7,fisher_bank_chime2022_pres_dense.npz,1717cd3b73089b9c0510bdc12d08b8536961da93fc7218df13eb8e133ffe2288,2,abba22a2c2a489a712ea0f21f794139a987935cf,4cc1bcd4662e3026b4ea5f5565aad8853814bbdb12b8cd0fbe006fbf04fb7bb4,f6bc9ea0972028ce30472dd21b25d4b21b7068c0,efad0173be49d51679cf98071ccd1dfccd386dc9b2774e202164086347a4c2cf,,0,1.0,27,521.npz,9f3e63e5ad81ba39d085abe5f725cc5c53d9d7a175724158c6d84230f7e1a38f,through 2021-10,3359,-24.982983608572898,measured,measured,,0.0343837376489464,0.08236814518095811,0.00150339801255183,False,False,False
peak1,3.6,29,True,evaluated,14274,39357,30,1.0339379147180034,a3f04c067c3bc251eabe9a42f0e54b3a523971ba8cf4987e5d93ffa37b91993a,d260c276d5821e766b52e18f6c686e2978e4fa12e243bb2b6adb0ca59e1e6530,304f91c97059caac2e34d59c31258b6caad6fc58399d68346a432dd63184821c,b36c612ca1a59c0b5e09ced129bca9e15c589fb94a7e2e3648c6ebd815b68cf7,fisher_bank_chime2022_pres_kfg22_dense.npz,b112825024aa294216432b08eddd225ea5a2480cf59004885e190fcb4aaa0e8a,2,abba22a2c2a489a712ea0f21f794139a987935cf,4cc1bcd4662e3026b4ea5f5565aad8853814bbdb12b8cd0fbe006fbf04fb7bb4,f6bc9ea0972028ce30472dd21b25d4b21b7068c0,efad0173be49d51679cf98071ccd1dfccd386dc9b2774e202164086347a4c2cf,22.0,0,1.0,27,614.npz,c8b13fcd8ea23b9a384ce71e11f05fed3d9d3fc0f9cbd472f77012233c52502c,kept frames,8119,-48.19021936913615,measured,refused,surviving power fraction moves x2.5 across trim probes (max 2); the variance split is set by where the tail was cut,0.030564214332188394,0.07460220068563156,0.0017834904451086771,False,False,False
peak1,3.6,32,False,insufficient_kept_frames,16,8359,30,,a3f04c067c3bc251eabe9a42f0e54b3a523971ba8cf4987e5d93ffa37b91993a,d260c276d5821e766b52e18f6c686e2978e4fa12e243bb2b6adb0ca59e1e6530,304f91c97059caac2e34d59c31258b6caad6fc58399d68346a432dd63184821c,b36c612ca1a59c0b5e09ced129bca9e15c589fb94a7e2e3648c6ebd815b68cf7,fisher_bank_chime2022_pres_kfg22_dense.npz,b112825024aa294216432b08eddd225ea5a2480cf59004885e190fcb4aaa0e8a,2,abba22a2c2a489a712ea0f21f794139a987935cf,4cc1bcd4662e3026b4ea5f5565aad8853814bbdb12b8cd0fbe006fbf04fb7bb4,f6bc9ea0972028ce30472dd21b25d4b21b7068c0,efad0173be49d51679cf98071ccd1dfccd386dc9b2774e202164086347a4c2cf,22.0,0,1.0,27,568.npz,99ad816a828ea8c29e7e5551a34cda7413a95b25afc7d42d0a3ed9d078e0d4da,from 2023-02,14533,-31.539528521052798,measured,measured,,0.01304482788223502,0.02257146439937674,0.0017218772729113414,,,
peak1,3.6,33,False,evaluated,6659,34206,30,0.0014573556617812652,a3f04c067c3bc251eabe9a42f0e54b3a523971ba8cf4987e5d93ffa37b91993a,d260c276d5821e766b52e18f6c686e2978e4fa12e243bb2b6adb0ca59e1e6530,304f91c97059caac2e34d59c31258b6caad6fc58399d68346a432dd63184821c,b36c612ca1a59c0b5e09ced129bca9e15c589fb94a7e2e3648c6ebd815b68cf7,fisher_bank_chime2022_pres_kfg22_dense.npz,b112825024aa294216432b08eddd225ea5a2480cf59004885e190fcb4aaa0e8a,2,abba22a2c2a489a712ea0f21f794139a987935cf,4cc1bcd4662e3026b4ea5f5565aad8853814bbdb12b8cd0fbe006fbf04fb7bb4,f6bc9ea0972028ce30472dd21b25d4b21b7068c0,efad0173be49d51679cf98071ccd1dfccd386dc9b2774e202164086347a4c2cf,22.0,0,1.0,27,552.npz,5bc12254565cc414e6e72d7e3217c8d51c4f9bc92f41b62d2be59037abd86c83,kept frames,1388,-44.951974304312806,measured,bounded_above,"decorrelated by 5 min, the shortest resolvable lag; tau_c is an upper bound",0.01304482788223502,0.02257146439937674,0.0017218772729113414,True,True,True
peak1,3.6,35,False,evaluated,6484,39775,30,0.08906425363944717,a3f04c067c3bc251eabe9a42f0e54b3a523971ba8cf4987e5d93ffa37b91993a,d260c276d5821e766b52e18f6c686e2978e4fa12e243bb2b6adb0ca59e1e6530,304f91c97059caac2e34d59c31258b6caad6fc58399d68346a432dd63184821c,b36c612ca1a59c0b5e09ced129bca9e15c589fb94a7e2e3648c6ebd815b68cf7,fisher_bank_chime2022_pres_kfg22_dense.npz,b112825024aa294216432b08eddd225ea5a2480cf59004885e190fcb4aaa0e8a,2,abba22a2c2a489a712ea0f21f794139a987935cf,4cc1bcd4662e3026b4ea5f5565aad8853814bbdb12b8cd0fbe006fbf04fb7bb4,f6bc9ea0972028ce30472dd21b25d4b21b7068c0,efad0173be49d51679cf98071ccd1dfccd386dc9b2774e202164086347a4c2cf,22.0,0,1.0,27,521.npz,9f3e63e5ad81ba39d085abe5f725cc5c53d9d7a175724158c6d84230f7e1a38f,through 2021-10,3359,-24.982983608572898,measured,measured,,0.015651478155617665,0.027144374379873017,0.001701612091380084,False,False,False
peak2,8.2,29,True,evaluated,14274,39357,30,0.35850437611277886,a3f04c067c3bc251eabe9a42f0e54b3a523971ba8cf4987e5d93ffa37b91993a,d260c276d5821e766b52e18f6c686e2978e4fa12e243bb2b6adb0ca59e1e6530,304f91c97059caac2e34d59c31258b6caad6fc58399d68346a432dd63184821c,b36c612ca1a59c0b5e09ced129bca9e15c589fb94a7e2e3648c6ebd815b68cf7,fisher_bank_chime2022_pres_kfg44_dense.npz,f57fc323617b05852086499c964c4326f390fb5c6338a645ebfb0efb2185069a,2,abba22a2c2a489a712ea0f21f794139a987935cf,4cc1bcd4662e3026b4ea5f5565aad8853814bbdb12b8cd0fbe006fbf04fb7bb4,f6bc9ea0972028ce30472dd21b25d4b21b7068c0,efad0173be49d51679cf98071ccd1dfccd386dc9b2774e202164086347a4c2cf,44.0,0,1.0,27,614.npz,c8b13fcd8ea23b9a384ce71e11f05fed3d9d3fc0f9cbd472f77012233c52502c,kept frames,8119,-48.19021936913615,measured,refused,surviving power fraction moves x2.5 across trim probes (max 2); the variance split is set by where the tail was cut,0.012472319337120584,0.013716242739917405,0.0020742773823401437,False,False,False
peak2,8.2,32,False,insufficient_kept_frames,16,8359,30,,a3f04c067c3bc251eabe9a42f0e54b3a523971ba8cf4987e5d93ffa37b91993a,d260c276d5821e766b52e18f6c686e2978e4fa12e243bb2b6adb0ca59e1e6530,304f91c97059caac2e34d59c31258b6caad6fc58399d68346a432dd63184821c,b36c612ca1a59c0b5e09ced129bca9e15c589fb94a7e2e3648c6ebd815b68cf7,fisher_bank_chime2022_pres_kfg44_dense.npz,f57fc323617b05852086499c964c4326f390fb5c6338a645ebfb0efb2185069a,2,abba22a2c2a489a712ea0f21f794139a987935cf,4cc1bcd4662e3026b4ea5f5565aad8853814bbdb12b8cd0fbe006fbf04fb7bb4,f6bc9ea0972028ce30472dd21b25d4b21b7068c0,efad0173be49d51679cf98071ccd1dfccd386dc9b2774e202164086347a4c2cf,44.0,0,1.0,27,568.npz,99ad816a828ea8c29e7e5551a34cda7413a95b25afc7d42d0a3ed9d078e0d4da,from 2023-02,14533,-31.539528521052798,measured,measured,,0.015716198817353002,0.0960928028289282,0.0020893522844648146,,,
