channel,evidence,tau_bound,order,masked_fraction,r_over_rtol
36,stated,1,0,0,51091.7
36,stated,1,1,0,51091.7
36,stated,1,2,0,51091.7
36,stated,1,3,0,51091.7
36,stated,1,4,5.2410901e-05,50729.4
36,stated,1,5,0.00049790356,48167.8
36,stated,1,6,0.0014937107,43866.7
36,stated,1,7,0.0026991614,39770.3
36,stated,1,8,0.003432914,37844.3
36,stated,1,9,0.0048480084,35080.3
36,stated,1,10,0.0070230608,31819.2
36,stated,1,11,0.0088312369,29798.4
36,stated,1,12,0.011792453,27285.3
36,stated,1,13,0.015828092,24714.3
36,stated,1,14,0.020780922,22399.3
36,stated,1,15,0.026912998,20238.4
36,stated,1,16,0.03456499,18262.3
36,stated,1,17,0.045073375,16303.5
36,stated,1,18,0.05783543,14601.9
36,stated,1,19,0.075786164,12971.2
36,stated,1,20,0.10516247,11244.1
36,stated,1,21,0.15875262,9408.66
36,stated,1,22,0.31415094,6908.24
36,stated,1,23,0.99263627,2041.41
36,stated,1,24,0.99910901,4845.68
35,measured,0,0,0,114.503
35,measured,0,1,0,114.503
35,measured,0,2,0,114.503
35,measured,0,3,0,114.503
35,measured,0,4,0,114.503
35,measured,0,5,0,114.503
35,measured,0,6,0,114.503
35,measured,0,7,0,114.503
35,measured,0,8,0,114.503
35,measured,0,9,0.00030169705,114.347
35,measured,0,10,0.00042740415,114.305
35,measured,0,11,0.00055311125,114.274
35,measured,0,12,0.0010810811,114.186
35,measured,0,13,0.12286612,103.479
35,measured,0,14,0.63612822,25.2911
35,measured,0,15,0.69704588,5.42622
35,measured,0,16,0.70023884,4.54883
35,measured,0,17,0.70207417,4.18695
35,measured,0,18,0.70411062,3.89749
35,measured,0,19,0.70662476,3.66329
35,measured,0,20,0.71062225,3.41723
35,measured,0,21,0.71268385,3.3549
35,measured,0,22,0.71610308,3.31287
35,measured,0,23,0.73282212,3.41552
35,measured,0,24,0.83698303,4.40383
34,measured,1,0,0,17820.1
34,measured,1,1,0,17820.1
34,measured,1,2,0,17820.1
34,measured,1,3,0,17820.1
34,measured,1,4,0,17820.1
34,measured,1,5,0,17820.1
34,measured,1,6,0,17820.1
34,measured,1,7,0,17820.1
34,measured,1,8,0.00015377912,16943.2
34,measured,1,9,0.00064074634,14704.4
34,measured,1,10,0.00094830459,13622.2
34,measured,1,11,0.001230233,12885.1
34,measured,1,12,0.0016915703,11965.2
34,measured,1,13,0.0021529077,11275.8
34,measured,1,14,0.0027680242,10589.9
34,measured,1,15,0.0034344004,10042.8
34,measured,1,16,0.0041264064,9630.07
34,measured,1,17,0.0055873081,8980.44
34,measured,1,18,0.007535177,8355.74
34,measured,1,19,0.0096880847,7869.93
34,measured,1,20,0.013532563,7311.28
34,measured,1,21,0.020913961,6656.9
34,measured,1,22,0.036291873,5978.75
34,measured,1,23,0.58146449,3415.78
34,measured,1,24,0.9909014,294.501
33,measured,1,0,0,12.6734
33,measured,1,1,0,12.6734
33,measured,1,2,0,12.6734
33,measured,1,3,0,12.6734
33,measured,1,4,0,12.6734
33,measured,1,5,0,12.6734
33,measured,1,6,0,12.6734
33,measured,1,7,0,12.6734
33,measured,1,8,0,12.6734
33,measured,1,9,0,12.6734
33,measured,1,10,2.9234637e-05,12.6228
33,measured,1,11,0.00070163129,11.6944
33,measured,1,12,0.0018125475,10.4993
33,measured,1,13,0.002981933,9.54973
33,measured,1,14,0.0037420336,9.08307
33,measured,1,15,0.0046190727,8.67746
33,measured,1,16,0.0056130503,8.33499
33,measured,1,17,0.0068409051,8.05038
33,measured,1,18,0.010027481,7.5027
33,measured,1,19,0.014675788,6.95798
33,measured,1,20,0.02578495,6.12843
33,measured,1,21,0.06531018,4.19165
33,measured,1,22,0.11009764,2.99029
33,measured,1,23,0.47474127,0.851462
33,measured,1,24,0.80532655,0.214013
32,measured,1,0,0,4.73958e+06
32,measured,1,1,0,4.73958e+06
32,measured,1,2,0,4.73958e+06
32,measured,1,3,0.0014176856,4.71676e+06
32,measured,1,4,0.18947368,1.89693e+06
32,measured,1,5,0.29484317,17326.4
32,measured,1,6,0.29498494,15080.1
32,measured,1,7,0.29519759,12775.1
32,measured,1,8,0.2953748,11241.9
32,measured,1,9,0.29555201,10037.8
32,measured,1,10,0.29569378,9393.85
32,measured,1,11,0.29590643,8607.3
32,measured,1,12,0.29647351,7040.99
32,measured,1,13,0.29693425,6048.55
32,measured,1,14,0.29711147,5775.34
32,measured,1,15,0.29753677,5273.29
32,measured,1,16,0.29792663,4928.65
32,measured,1,17,0.29881269,4366.92
32,measured,1,18,0.29945065,4075.7
32,measured,1,19,0.30161262,3395.92
32,measured,1,20,0.30338472,3018.33
32,measured,1,21,0.30820486,2385.43
32,measured,1,22,0.31752614,1763.04
32,measured,1,23,0.37806131,782.4
32,measured,1,24,0.71100478,154.857
31,stated,0,0,0,333.458
31,stated,0,1,0,333.458
31,stated,0,2,0,333.458
31,stated,0,3,0,333.458
31,stated,0,4,0,333.458
31,stated,0,5,0,333.458
31,stated,0,6,0,333.458
31,stated,0,7,0,333.458
31,stated,0,8,0,333.458
31,stated,0,9,0,333.458
