# 087bb88aa1dda9cdfed7d1558d5a4c2ab8056c1288aab0fb24fe21f4f82d4670#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6832,"mnu":0.06,"ns":0.9742,"ombh2":0.022506,"omch2":0.11755,"omnuh2":0.000644883920894239,"sigma_8":0.8117},"data_sha256":"468d0f6b5dc2a91da3fafb72822b8bedb754c8f822c6c072aae47f7c1a343623","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.4"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
6.832000000000000995e-05 1.353864624796603266e+03
6.891869006230168628e-05 1.365415262378024863e+03
6.952262646228921897e-05 1.377064325662159490e+03
7.013185517376585001e-05 1.388812645251683307e+03
7.074642257340450779e-05 1.400661069053397341e+03
7.136637544427822685e-05 1.412610456998618702e+03
7.199176097942137258e-05 1.424661676556558177e+03
7.262262678542219930e-05 1.436815602779465507e+03
7.325902088604683670e-05 1.449073118368187124e+03
7.390099172589500271e-05 1.461435109276864068e+03
7.454858817408779523e-05 1.473902455218338446e+03
7.520185952798776594e-05 1.486476040447969353e+03
7.586085551695164223e-05 1.499156756415840164e+03
7.652562630611590034e-05 1.511945501822272718e+03
7.719622250021547451e-05 1.524843182808180472e+03
7.787269514743600863e-05 1.537850718940617526e+03
7.855509574329984010e-05 1.550969045852191357e+03
7.924347623458600056e-05 1.564199107777632435e+03
7.993788902328455867e-05 1.577541857021386704e+03
8.063838697058569812e-05 1.590998254026865879e+03
8.134502340090370685e-05 1.604569267180091856e+03
8.205785210593617577e-05 1.618255870010176977e+03
8.277692734875882708e-05 1.632059042244108696e+03
8.350230386795627039e-05 1.645979771808830947e+03
8.423403688178882195e-05 1.660019054932836980e+03
8.497218209239594305e-05 1.674177896215050168e+03
8.571679569003655462e-05 1.688457308910299162e+03
8.646793435736628260e-05 1.702858315786550293e+03
8.722565527375252838e-05 1.717381948520537890e+03
8.799001611962703907e-05 1.732029247492836703e+03
8.876107508087681787e-05 1.746801261860688101e+03
8.953889085327337459e-05 1.761699049619091966e+03
9.032352264694095312e-05 1.776723676091131210e+03
9.111503019086372257e-05 1.791876212374918623e+03
9.191347373743260943e-05 1.807157738105153157e+03
9.271891406703194709e-05 1.822569341886317034e+03
9.353141249266624089e-05 1.838112121365367557e+03
9.435103086462756357e-05 1.853787183548864277e+03
9.517783157520382517e-05 1.869595649481081637e+03
9.601187756342829688e-05 1.885538654107376260e+03
9.685323231987076815e-05 1.901617342207462343e+03
9.770195989147062183e-05 1.917832868318009560e+03
9.855812488641236939e-05 1.934186396816030310e+03
9.942179247904383589e-05 1.950679100253735442e+03
1.002930284148374963e-04 1.967312149038138386e+03
1.011718990153951796e-04 1.984086718082421839e+03
1.020584711834968464e-04 2.001003991805518808e+03
1.029528124081932893e-04 2.018065164222382919e+03
1.038549907699437607e-04 2.035271439021856168e+03
1.047650749457985269e-04 2.052624033771088307e+03
1.056831342146266877e-04 2.070124187927309777e+03
1.066092384623900204e-04 2.087773153530751188e+03
1.075434581874629294e-04 2.105572193226677427e+03
